,pid,pkey,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pjournal,pjournalfull,pbooktitle,pbooktitlefull,ptype
0,180843,conf/dft/semiaorvstt07,fabian vargas|isabel c teixeira|joao paulo teixeira|jorge semiao|juan j rodriguezandina|marcelino bicho dos santos,,improving the tolerance of pipeline based circuits to power supply or temperature variations,2007,,,,,,dft,,inproceedings
1,162991,conf/dagstuhl/caire07,patrice caire,,a normative multiagent systems approach to the use of conviviality for digital cities,2007,,,,,,normative multiagent systems,european grid conference,inproceedings
2,2261406,journals/tit/bt07,andrew thangaraj|sundeep b,,selforthogonality of qary images of qmary codes and quantum code construction,2007,,,,ieee transactions on information theory,international journal of ambient computing and intelligence ijaci,wimob,acm symposium on parallel algorithms and architectures,article
3,349720,conf/icdcsw/pardo-castellote03,gerardo pardocastellote,,omg datadistribution service architectural overview,2003,,,,,,icdcs workshops,international agent technology conference,inproceedings
4,1922328,journals/corr/abs-0911-4329,kihoon lee|kyuyoung whang|minsoo kim |wookshin han,,structural consistency enabling xml keyword search to eliminate spurious results consistently,2009,,,,corr,international journal of wireless information networks,,messung,article
5,883711,conf/cdc/liuht09,bin liu|david j hill|kok lay teo,,inputtostate stability for a class of hybrid dynamical systems via hybrid time approach,2009,,,,,,,messung,inproceedings
6,2324621,journals/mcs/sunkzc03,eric s carlson|haiwei sun|jun zhang|ning kang,,a fourthorder compact difference scheme on face centered cubic grids with multigrid method for solving d convection diffusion equation,2003,,,,mathematics and computers in simulation,international transactions on systems science and applications,,messung,article
7,366780,conf/icic/leekkk06,heaujo kang|namsung kim|sangheon lee|soongohn kim,,performance improvement of intelligent uwbir communication system in multipath channel,2006,,,,,,,,article
8,684295,conf/semweb/brochelerps09,andrea pugliese|matthias brocheler|v s subrahmanian,,dogma a diskoriented graph matching algorithm for rdf databases,2009,,,,,,patmos,autonomous agents and multiagent systems,inproceedings
9,341121,conf/iccsa/jiangmqtz04,andrew tomascak|binhai zhu|brendan mumey|minghui jiang|zhongping qin,,approximations for two decompositionbased geometric optimization problems,2004,,,,,,,messung,inproceedings
10,485277,conf/ipps/wangx08,feng wang |yuan xie,,embedded multiprocessor systemonchip mpsoc design considering process variations,2008,,,,,,ipdps,international conference on interaction sciences,inproceedings
