,column0,key1,key2,label
0,19,journals/corr/abs-0911-4329,conf/asiasim/KimC04,False
1,103,conf/cdc/WangW09,journals/twc/WangPWSC08,False
2,138,conf/dexa/Chundi0R05,conf/acns/ZhangFI05,False
3,161,conf/icic/ZhangLYC08,journals/ijon/ChenC98,False
4,189,conf/codes/BalarinLPSWY02,conf/iscc/YangGS04,False
5,212,conf/icra/SchmidtPB10,conf/arcs/FeyS05,False
6,239,journals/gidr/GunzelB00,conf/rv/0002LS07,False
7,263,conf/pics/WangB98,journals/tsmc/WongW03,False
8,270,conf/egov/JooKK04,journals/vldb/KimWLL08,False
9,328,conf/icdar/SunHKN05,journals/ieicet/ZhangSLZ07,False
10,338,conf/vg/LiKK01,conf/icwn/LiG04,False
11,359,journals/ife/000510,conf/europar/RoderLB98,False
12,366,conf/icde/WhangLKLL07,conf/asiasim/KimC04,False
13,446,journals/automatica/ZhouWW09,conf/mswim/WangPWS06a,False
14,484,journals/comcom/LeeS99,journals/jcrd/LeeLW06,False
15,503,conf/miccai/ZhangXSM06,journals/tkde/XuZLSD06,False
16,542,conf/icip/WangB97a,conf/wacv/WangLTW05,False
17,575,conf/iri/NijimXQ05,conf/icic/XuX05,False
18,630,conf/nas/00020L09,conf/iros/WangWLHL06,False
19,649,conf/dais/RomeroRSC10,conf/fimh/RomeroSBZBVF09,False
20,650,journals/sadm/ZhangPU10,journals/ijprai/LuZF09,False
21,654,conf/cikm/ZhangF06,conf/bmei/WangZ0ZZ09,False
22,713,journals/ife/000510,journals/fgcs/LudwigLSR02,False
23,722,conf/fskd/FengYZD05,conf/sigmetrics/ZhangGG03,False
24,771,conf/infocom/WangZ06,conf/icc/WangA00a,False
25,846,conf/ipps/WangX08,journals/tmc/ThaiWLZD07,False
26,861,conf/cdc/BrownHP09,conf/iticse/PapadopoulosP03,False
27,877,conf/cso/ChenZLL09,journals/cviu/LiuL08,False
28,1087,conf/graphicsinterface/LiK03,journals/jss/LiGW09,False
29,1088,conf/icc/WangA00,conf/pdcat/ZhengXWH05,False
30,1131,journals/vldb/CandanCQS08,journals/jbcb/CaoTGQ05,False
31,1174,journals/corr/abs-0807-4580,conf/ausai/KimC05,False
32,1230,journals/tog/ZhouHWG08,journals/corr/abs-0908-1004,False
33,1279,conf/soda/FeigenbaumKMSZ05,journals/pr/LuZF07,False
34,1313,conf/miccai/ZhangYRG07,conf/im/LiuZIJM07,False
35,1320,conf/miccai/ZhangYRG07,conf/services/ZhangJYCS09,False
36,1358,conf/iros/XuGDAFS09,conf/compsac/LiangX06,False
37,1364,journals/nar/ChenWLJW06,conf/iccpol/LiZWW09,False
38,1366,journals/automatica/WangW10a,conf/iccpol/LiZWW09,False
39,1379,conf/vg/LiKK01,conf/itng/ShatnawiL06,False
40,1416,journals/siamcomp/FeigenbaumKMSZ08,conf/sac/Zhang01,False
41,1498,conf/trec/XuYWLCLYCB02,conf/eee/ZhangGY05,False
42,1521,conf/iwpse/PizkaB04,conf/csa/CoersmeierBKPSTXGHL05,False
43,1527,conf/date/0001BW09,conf/arcs/FeyS05,False
44,1559,conf/vg/LiKK01,conf/cccg/LiDR06,False
45,1647,journals/gidr/BauerL01,conf/fsttcs/BauerLS06,False
46,1693,journals/ras/ZhangTCYL09,conf/cscwd/ZangHCD06a,False
47,1716,journals/cviu/WangB97,conf/cocoon/GaoWNWCL03,False
48,1743,journals/cviu/WangB97,conf/iccS/WangXSZ06,False
49,1758,journals/tvcg/WeiLMK04,conf/acl/NiuLDS03,False
50,1791,conf/visualization/LiMK03,conf/anlp/SrihariL00,False
51,1810,journals/tvcg/WeiLMK04,conf/itng/ShatnawiL06,False
52,1914,journals/nar/ChenWLJW06,conf/mobicom/WangSC05,False
53,1937,conf/fskd/FengYZD05,conf/noms/DuanZJM10,False
54,2034,conf/das/SunFTFN08,conf/iscc/SunM02,False
55,2038,conf/ispec/ZhangHXY05,journals/ijac/LiuZ07,False
56,2124,conf/aspdac/WangXT09,journals/ijsnet/ThaiWDJ08,False
57,2148,journals/vc/WangCWLCHPB08,conf/globecom/Rui07,False
58,2249,journals/nar/ChenWLJW06,conf/pcm/YuanZXWW07,False
59,2277,conf/iccS/LiuGDG06,conf/ictai/ChenDBB09,False
60,2289,conf/miccai/ZhangYRG07,conf/sac/ChenJZY09,False
61,2318,conf/iccS/TianDCJ07,conf/iticse/YueD04,False
62,2369,journals/automatica/ZhouWW09,journals/jss/WangZG09,False
63,2383,conf/cikm/ZhangF06,conf/avss/LuZF06,False
64,2437,conf/cdc/WangW09,conf/ispan/WangZGK09,False
65,2492,conf/iccS/LiuGDP06,conf/deec/TianDCW06,False
66,2511,series/asc/Kim07,journals/vldb/KimWLL08,False
67,56,journals/ieicet/GeLN05,conf/adg/TuloneYL00,False
68,448,series/asc/Kim07,journals/pvldb/KimH09,False
69,636,journals/tvlsi/NeveS0F04,conf/conpar/BemmerlL90,False
70,637,journals/automatica/WangW10a,conf/cikm/WeiLWH09,False
71,886,conf/eurocast/BrauneWA07,journals/ijufks/WagnerK98,False
72,1096,journals/comcom/LeeS99,conf/mascots/LuoLW05,False
73,1140,conf/miccai/ZhangYG05,conf/srds/ChenJZY10,False
74,1170,conf/isbi/JiangJM04,journals/ijhpcn/JiangTA09,False
75,1180,conf/snpd/ZengWH07,conf/iros/HuHWWLLW09,False
76,1194,conf/pics/WangB98,journals/tcbb/AuCWW05,False
77,1216,conf/bildmed/MunzLBZS00,conf/f-egc/WintergerstLB07,False
78,1352,conf/ca/WeiLK03,conf/pdcs/LiXLG02,False
79,1414,conf/icccn/LeeS97,conf/mascots/LuoLW05,False
80,1489,journals/tvcg/CraciunJTM05,conf/vlsm/LuZJZZ05,False
81,1729,conf/nas/0005Z007,conf/fskd/ZhengYZH08,False
82,1776,conf/icip/WangB97a,conf/alart/MulvaneySSWZ05,False
83,1989,conf/appt/YangZL07,conf/icic/ZhengYZZX08,False
84,2066,conf/ssdbm/BauerL03,journals/ife/BauerRS05,False
