,key1,key2,score
0,conf/prib/ahmedf07,journals/jcc/patras09,0.24701665
1,conf/vlsid/chencc95,journals/tcad/luocwccw08,0.6468285
2,conf/prozess/sun88,conf/isnn/sunzlcs07,0.9026359
3,conf/pricai/beaumonttsm04,conf/icip/sattaras08,0.2604616
4,conf/dft/semiaorvstt07,conf/iolts/rodriguez-iragoavstt05,0.98159486
5,conf/lmo/demphlousl96,conf/reflection/demphlousl99,0.998976
6,conf/dagstuhl/caire07,conf/iros/leeatiho08,0.2501492
7,conf/eh/zhaojzw05,journals/mj/caocrjzlsz09,0.584001
8,conf/ifip5-5/mulderm04,journals/neco/giulionipbdg09,0.30879897
9,journals/tit/bt07,conf/wimob/phrompichaiy09,0.25209606
10,conf/mmb/sassj06,conf/kivs/sass03,0.2657199
11,journals/tog/hullinhaskl10,journals/tim/ngamwongwattanat10,0.2501492
12,conf/nems/raolw09,conf/cars/fujdcwlglzdmlhpgclwcx03,0.53916293
13,journals/adt/panagopoulosk03,conf/pricai/golinska-pilarekmm08,0.29096353
14,conf/srds/kazemzadehj09,conf/delfi/xiaoj03,0.23035483
15,conf/pricai/beaumonttsm04,journals/memetic/sattars10,0.25527117
16,conf/srds/kazemzadehj09,conf/cbms/kazemzadehs06,0.9201306
17,conf/icdcsw/pardo-castellote03,conf/rtas/schneidercp95,0.9573156
18,journals/corr/abs-0911-4329,conf/asiasim/kimc04,0.7146591
19,conf/cdc/liuht09,journals/nar/jayapandianctyeilnsaasj07,0.24011251
20,conf/vlsid/hazaridk07,conf/evow/juhosh08,0.2340461
21,conf/cec/linhz08,conf/dawak/carageazph06,0.2501492
22,conf/icse/ferrariblgfcltssrmbm10,conf/ictai/araujoos09,0.28189546
23,conf/mfcs/boerrh99,journals/scp/roever10,0.28288954
24,conf/icic/leekkk06,journals/jcc/mitinbwp03,0.27104548
25,journals/jcc/diazavrdsup07,journals/bioinformatics/diazar03,0.89700407
26,conf/jurix/laarschotsslh05,journals/mansci/desarbobjs06,0.26370493
27,journals/wi/heinrichbhkl08,conf/glvlsi/tanakayk04,0.2501492
28,conf/icns/capo-chichigf09,conf/aina/adambp10,0.29743174
29,conf/seal/zhangzh08,conf/icml/zhangh03,0.28741834
30,conf/iat/silaghi06,conf/aaai/matsuimshy08,0.27309573
31,conf/iscas/wadanu99,conf/cases/huynhsm07,0.2564932
32,conf/csb/damsox04,journals/bioinformatics/wangx03,0.27504206
33,journals/jche/wangh09,journals/ijsnet/wangxtd07,0.24011251
34,conf/semweb/brochelerps09,conf/patmos/pugliesecc06,0.28861392
35,conf/aspdac/wangwx08,conf/globecom/wangfg07,0.27104548
36,journals/tcs/raos01,conf/icdim/sattars10,0.25527117
37,journals/tvlsi/moonasdb03,conf/glvlsi/bhattidd06,0.2501492
38,journals/ijaci/montoroha10,conf/ecai/alamanapz92,0.2501492
39,conf/appinf/jimenezscrc94,conf/nips/serrano-gotarredonaollpgrdlzwdhjcsal05,0.4260682
40,conf/ifip5-5/shamsuzzohakhcaf10,journals/ijitm/hilmolah06,0.23519863
41,conf/islped/nevefslh02,conf/pvm/0002kkkl07,0.47355556
42,journals/tsp/maranomw08,journals/jcisd/hollidaysww03,0.2501492
43,conf/apweb/byunll06,journals/tc/cheonl06,0.27309573
44,journals/jat/nielsen07,journals/bioinformatics/zhangln09,0.97365147
45,conf/fskd/fengyzd05,journals/ton/stoicasz03,0.28177926
46,journals/ieicet/geln05,conf/adg/tuloneyl00,0.71467406
47,conf/sac/chenjh06,conf/islped/chenh97,0.29731262
48,conf/cikm/chenlqz09,conf/fskd/caoyzqy09,0.6571936
49,journals/ml/meirm95,conf/nips/bartlettmm98,0.27643758
50,conf/pg/liangbz02,conf/atal/karankek10,0.2681657
51,conf/iccsa/jiangmqtz04,conf/isnn/jiangsl05,0.2657199
52,journals/combinatorics/flaxmanhs04,conf/waw/flaxmanfv07,0.24509616
53,journals/bmcbi/liultlgg09,conf/waim/liwlwz06,0.28189546
54,conf/ipps/wangx08,conf/globecom/wangzh06,0.2604616
55,conf/pimrc/caballerosvrjlb04,journals/tnn/serrano-gotarredonasasplljc08,0.46381512
56,journals/monet/unlul10,conf/iccad/leejk08,0.2926456
57,conf/ismb/stevensrg03,conf/icsnw/zhaogsb04,0.6944149
58,conf/ecaiw/soutchanskit94,conf/lpar/tangt05,0.28189546
59,journals/cce/cisternascs04,conf/icmb/schierholzogkb05,0.25555274
60,journals/ccr/xug05,journals/bioinformatics/wangx03,0.2986552
61,conf/cost/kervellagh94,conf/cars/krishnanhshyrzs04,0.27231696
62,conf/biocomp/chenrki10,conf/metmbs/hungkc05,0.26246065
63,conf/otm/tapiadeco08,conf/wsc/stahlhdhhk03,0.264953
64,journals/amc/mishraka07,journals/eswa/aroract10a,0.8226522
65,journals/ibmrd/taylorfjkggb96,journals/pami/browns90,0.28550223
66,journals/tit/wangzz06,conf/awic/zhangzcw03,0.6306447
67,conf/gil/kustermannsah08,conf/gil/premwrh06,0.6525416
68,journals/tse/lamsweerdedl98,journals/amc/ramadanlz08,0.24509616
69,journals/eswa/krengt03,conf/csreaesa/laycly08,0.24509616
70,journals/ijbc/brugionihmb07,journals/ijbc/boccalettihl07,0.2657199
71,conf/btw/ludwig91,conf/pdpta/wismullerl99,0.24821237
72,conf/iconip/karras09,conf/ntms/karrasz08,0.295958
73,journals/concurrency/shadidt92,journals/siamsc/bochevhst08,0.32295638
74,conf/rtss/wangwcz08,conf/cimca/wangs06,0.86719114
75,journals/mr/chiucyfw10,journals/mj/weicyf09,0.88608885
76,journals/ieicet/jeongkl09b,journals/ieicet/leeph08,0.26246065
77,conf/snpd/naseerya08,conf/esws/baumgartnerfg07,0.27643758
78,conf/ismvl/shirahamah08,conf/fpga/hallschmidw01,0.27643758
79,journals/pe/nebats06,conf/wiopt/nebatb06,0.92774904
80,conf/cdc/wangw09,journals/twc/wangpwsc08,0.7205124
81,conf/esem/ruhew08,journals/heuristics/affenzellerw04,0.28399584
82,conf/icwe/houbenpscsw06,conf/europar/koschshb01,0.23035483
83,conf/icra/araisfii99,conf/ictai/reynoldsp04,0.2604616
84,conf/dac/urardpgmlyg05,conf/eurodac/michellsdc94,0.5466887
85,conf/itcc/choudhurycb01,journals/chinaf/guoz08,0.26900488
86,journals/ieicet/nishiharamf09,journals/emisa/wendorff96,0.2604616
87,conf/p2p/hugheswl07,conf/ftdcs/hugheswc04,0.24821237
88,journals/cluster/xieq08,conf/issre/xien05,0.28761685
89,conf/icra/fuchsbgbklgspkbswh09,conf/se/0002h10,0.2657199
90,journals/iandc/lv06,conf/icics/lu07,0.29150537
91,conf/lcn/zhangfb05,conf/sara/zhangsh02,0.26370493
92,conf/cnhpca/zhangw09,conf/dexa/wangj06,0.30619055
93,journals/amc/lvwk05a,conf/wisa/panhl09,0.29300523
94,conf/iccad/liw98,conf/icn/zengydz05,0.23519863
95,conf/dmin/kimlt08,conf/cbms/guanalt09,0.72821516
96,conf/sspr/caetanocb04,conf/caise/baidagsma04,0.27104548
97,journals/tcom/wonge09,conf/fct/gauwinnt09,0.2501492
98,conf/sigmod/biembfrrvkm10,journals/mam/moreolvma05,0.28189546
99,journals/tkde/tahae10,journals/jc/kainenks09,0.2604616
100,books/sp/geroimenko2002/weiss-lijnmj02,conf/iceis/sinogasvcnmt01,0.27631384
101,conf/ancs/liaobwyk10,conf/nordichi/normark02,0.26816347
102,journals/cmpb/grahamgd05,journals/cn/landrys97,0.2501492
103,conf/gmds/bammannh94,journals/monet/yehhwc09,0.24318576
104,journals/wicomm/leejkl08,journals/jcrd/leelw06,0.2771618
105,conf/ifiptm/alamomygtf10,conf/iscas/fujiyoshikn94,0.24509616
106,journals/bioinformatics/rissmanmbdgp09,journals/wicomm/mahonenjssms02,0.24011251
107,conf/wowmom/deansxw06,conf/csreasam/almasyb05,0.27104548
108,journals/ieicet/fukudaon10,conf/iros/takamukufh08,0.78063124
109,conf/dexa/chundi0r05,conf/acns/zhangfi05,0.70082587
110,journals/tomccap/yangsgsc06,conf/vlsid/painhcyshw03,0.46469548
111,conf/snpd/liuyzz07,conf/ijcai/liu95a,0.2604616
112,conf/jsspp/gongpf09,conf/itcc/pallickaraf05,0.2657199
113,journals/cn/chanhj08,conf/smc/endischsehk09,0.2845724
114,conf/cw/chittarogv05,journals/corr/abs-1012-0599,0.28920075
115,conf/bmei/yanlljws09,journals/geoinformatica/xiongl00,0.2604616
116,journals/jsac/stavrours04,conf/esorics/ardagnasjsm08,0.69267887
117,conf/ijcai/zhangz83,conf/kdd/aggarwalpz06,0.2657199
118,conf/icdcsw/shaosgzo03,conf/vtc/wangwwg08,0.61492366
119,conf/icic/zhangcml07,journals/jcst/rencscbl10,0.44230068
120,conf/mm/choesdp07,conf/jcdl/kornbluhfr05,0.24509616
121,journals/tit/chongt01,conf/geoinformatics/zhanglcbhc10,0.27104548
122,journals/neco/aussem02,conf/f-egc/aussemmc07,0.2677447
123,journals/amc/longcc05,conf/icws/longls04,0.2604616
124,journals/candc/galat96,journals/candc/galat04,0.9991868
125,conf/icic/zhanglyc08,journals/ijon/chenc98,0.66347647
126,conf/pimrc/heinrichsmd04,conf/lwa/hinneburgkmpn07,0.2604616
127,conf/vtc/hofbauerhk06,conf/sspr/altincaye04,0.28753176
128,conf/infocom/wangz06,conf/ccece/wangcljk09,0.27104548
129,conf/aspdac/balasalzn09,conf/ppswr/zhums04,0.2657199
130,journals/tcs/chenglnww04,conf/ccs/zhugz06,0.2657199
131,conf/crypto/hwangll05,conf/wisa/kwonl06a,0.2657199
132,journals/ijar/casillashpjv07,journals/isci/basupb86,0.25527117
133,conf/edutainment/baerendsenjn09,conf/alpit/leeakykl07,0.2501492
134,conf/cocoon/karakostaskw09,journals/jcst/wangzh06,0.27089208
135,conf/emmcvpr/joshiksj07,conf/cimaging/kulikovajdzz10,0.2788265
136,conf/ijcnn/wonbml06,conf/ucs/jinlp06,0.24509616
137,conf/bdim/yangkml08,conf/icebe/zhangmy06,0.31252208
138,journals/nar/chenwljw06,conf/sigmod/panzw08,0.5070833
139,conf/www/azamla07,conf/interval/ahmad75,0.25527117
140,journals/jnsm/kimh01,conf/interaction/kimolk09,0.2677447
141,conf/usab/harleyfawm10,conf/chi/axelrodh05,0.7842706
142,journals/corr/abs-1012-3956,journals/winet/bushjsefms97,0.2564932
143,journals/jot/smialek05,conf/cso/liwyw09,0.2657199
144,conf/dna/garzonwp09,journals/ijdmb/phanspw10,0.7719689
145,journals/expert/panyylll07,conf/rskt/zhaoyg08,0.25527117
146,journals/jasss/albinocg03,conf/gi/hildebrandwm90,0.23035483
147,conf/cscwd/tengmzwddw05,conf/ictai/sabahb93,0.2604616
148,journals/cphysics/schwartzkopfflms06,journals/ori/jonesb07,0.27643758
149,journals/tis/ruzic89,conf/ausai/liz05,0.2604616
150,conf/codes/balarinlpswy02,conf/iscc/yanggs04,0.5453494
151,conf/acisp/wenzwc08,conf/prdc/zhaozlz06,0.72436684
152,conf/fuzzy/filippc99,conf/saci/plastoic09,0.29653597
153,journals/concurrency/tuminarosh98,conf/sc/shadidhmhhl94,0.9109505
154,conf/icpr/maramisd10,conf/ic3k/falelakismlmd09,0.9743282
155,conf/aied/roseacr05,conf/its/rosetarwf04,0.96409506
156,conf/cit/pandad04,conf/mie/das09,0.32782054
157,conf/aict/melloukg06,journals/corr/abs-0912-3917,0.8552646
158,journals/jot/breuelr08,conf/coots/reverbelm97,0.28189546
159,conf/isaac/kaolst00,conf/cocoon/hungt06,0.27643758
160,journals/cacm/horningn08,conf/ac/horning76b,0.21275762
161,conf/conext/ruminjgs08,conf/gi/fellmannhtn10,0.30035645
162,conf/dna/reifsy05,conf/sfp/sannellahagsblmms05,0.25724423
163,journals/jcal/andersoncfhlt00,journals/jcal/tolmie01,0.8535737
164,conf/ieeescc/kousiouriskkgkv10,conf/icassp/joussepmej09,0.25527117
165,conf/ifip12/xiccl07,conf/stoc/chenll08,0.27104548
166,conf/mie/diasovm06,journals/logcom/beklemishevjv05,0.26600644
167,conf/icycs/fujx08,conf/cgo/srisa-ancss10,0.27104548
168,journals/isci/chenztwsmlk08,conf/ispa/chenpwc05,0.2208784
169,conf/isbra/ehlerrzbbcb10,conf/ciarp/bordeleilpz05,0.33976737
170,journals/amc/chenlb08,conf/asplos/kgildsbdmrf06,0.30533317
171,conf/icra/schmidtpb10,conf/arcs/feys05,0.8539929
172,conf/ifip6-8/natkaniecp00,conf/performance/filipiakp84,0.94293064
173,journals/corr/cmp-lg-9611005,conf/trec/leesljclkckakk01,0.28189546
174,conf/kbse/zaraketak07,conf/webist/stephanidesccg06,0.23035483
175,journals/nar/drocpfl09,journals/neco/huangbghe09,0.2604616
176,conf/vtc/wangzl10,conf/iccd/shayestehkssr05,0.27643758
177,journals/ieicet/iwamotosnm10,conf/ieeehpcs/martinezamm10,0.6290065
178,conf/agiledc/wests05,conf/xpu/navedabgdhmw02,0.2501492
179,conf/kivs/hoenerw76,conf/cbms/kazemzadehs06,0.24509616
180,journals/eor/chandraa00a,conf/iccs/langerlrks03,0.2604616
181,conf/wcnc/kimsk09,conf/airs/kimrcrck04,0.45988697
182,conf/qsic/chenlw07,conf/mammo/chanwzshh08,0.25209606
183,journals/scjapan/suzukiio99,conf/eurocast/rodriguez-millangp05,0.27104548
184,conf/bibe/asvestasvkm08,journals/cmpb/matsopouloskamdd04,0.5964284
185,conf/reflection/blaircdpddhs99,conf/eatis/gomescg08,0.27643758
